"index" "college" "visits" "amount"
"1" "Alabama" 46 5636.8
"2" "Auburn" 13 342.07
"3" "Auburn University" 0 0
"4" "Edward Via College of Osteopathic Medicine" 0 0
"5" "Birmingham " 0 0
"6" "University of Alabama at Birmingham" 0 0
"7" "Birmingham School of Law" 0 0
"8" "Birmingham Southern College" 0 0
"9" "Cumberland School of Law" 0 0
"10" "Miles Law School" 0 0
"11" "Dothan " 0 0
"12" "Fortis College" 0 0
"13" "Troy University Dothan Campus" 0 0
"14" "Alabama College of Osteopathic Medicine" 0 0
"15" "Florence " 0 0
"16" "University of North Alabama" 0 0
"17" "Homewood " 0 0
"18" "Samford University" 0 0
"19" "Huntsville " 0 0
"20" "University of Alabama" 0 0
"21" "Huntsville" 3 95.57
"22" "Jacksonville " 0 0
"23" "Jacksonville State University" 0 0
"24" "Livingston " 0 0
"25" "University of West Alabama" 0 0
"26" "Mobile " 0 0
"27" "University of South Alabama" 0 0
"28" "Montevallo " 0 0
"29" "University of Montevallo" 0 0
"30" "Faulkner University" 0 0
"31" "Montgomery " 0 0
"32" "Alabama State University" 0 0
"33" "Huntingdon College" 0 0
"34" "Auburn University at Montgomery" 0 0
"35" "H. Councill Trenholm State Technical College" 0 0
"36" "Faulkner University" 0 0
"37" "Troy " 0 0
"38" "Troy University" 0 0
"39" "Tuscaloosa " 0 0
"40" "University of Alabama" 0 0
"41" "Stillman College" 0 0
"42" "Shelton State" 0 0
"43" "Tuskegee " 0 0
"44" "Tuskegee University" 0 0
"45" "Alaska[edit]" 0 0
"46" "Anchorage " 0 0
"47" "University of Alaska Anchorage" 0 0
"48" "Fairbanks " 0 0
"49" "University of Alaska Fairbanks" 0 0
"50" "Juneau " 0 0
"51" "University of Alaska Southeast" 0 0
"52" "Ketchikan " 0 0
"53" "University of Alaska Southeast-extended campus" 0 0
"54" "Sitka " 0 0
"55" "University of Alaska Southeast-extended campus" 0 0
"56" "Arizona[edit]" 0 0
"57" "Chandler " 0 0
"58" "Western International University" 0 0
"59" "University of Phoenix" 0 0
"60" "International Baptist College" 0 0
"61" "Ottawa University " 0 0
"62" "adult education programs" 0 0
"63" "Chandler University" 0 0
"64" "Flagstaff " 0 0
"65" "Northern Arizona University" 0 0
"66" "Gilbert" 0 0
"67" "Glendale " 0 0
"68" "Thunderbird School of Global Management at ASU" 0 0
"69" "Midwestern University Glendale campus" 0 0
"70" "Lake Havasu City " 0 0
"71" "ASU Colleges at Lake Havasu City" 0 0
"72" "Northern Arizona University extended campus" 0 0
"73" "Mesa " 0 0
"74" "Arizona State University Polytechnic campus" 0 0
"75" "Benedictine University branch campus" 0 0
"76" "Upper Iowa University branch campus" 0 0
"77" "A.T. Still University School of Osteopathic Medicine in Arizona" 0 0
"78" "Peoria " 0 0
"79" "Trine University branch campus" 0 0
"80" "Phoenix " 0 0
"81" "Arizona State University" 0 0
"82" "University of Phoenix" 0 0
"83" "University of Arizona College of Medicine" 0 0
"84" "small satellite campus for Northern Arizona University" 0 0
"85" "Grand Canyon University" 0 0
"86" "Arizona Summit Law School" 0 0
"87" "Arizona Christian University" 0 0
"88" "Prescott " 0 0
"89" "Embry–Riddle Aeronautical University" 0 0
"90" "Yavapai College" 0 0
"91" "Prescott College" 0 0
"92" "Northern Arizona University" 0 0
"93" "Old Dominion University" 0 0
"94" "Scottsdale " 0 0
"95" "University of Phoenix" 0 0
"96" "Tempe " 0 0
"97" "Arizona State University" 0 0
"98" "University of Phoenix" 0 0
"99" "Brookline College" 0 0
"100" "Bryan University" 0 0
"101" "Tucson " 0 0
"102" "University of Arizona" 0 0
"103" "Tucson College" 0 0
"104" "Brown Mackie College" 0 0
"105" "Brookline College" 0 0
"106" "University of Phoenix" 0 0
"107" "The Art Institute of Tucson" 0 0
"108" "Prescott College branch campus" 0 0
"109" "Northern Arizona University branch campus" 0 0
"110" "The Art Center Design College" 0 0
"111" "Wayland Baptist University" 0 0
"112" "Arkansas[edit]" 0 0
"113" "Arkadelphia " 0 0
"114" "Henderson State University" 0 0
"115" "Ouachita Baptist University" 0 0
"116" "Conway " 0 0
"117" "Central Baptist College" 0 0
"118" "Hendrix College" 0 0
"119" "University of Central Arkansas" 0 0
"120" "Fayetteville " 0 0
"121" "University of Arkansas" 0 0
"122" "Fort Smith " 0 0
"123" "University of Arkansas at Fort Smith" 0 0
"124" "Webster University satellite campus" 0 0
"125" "John Brown University satellite campus" 0 0
"126" "Arkansas College of Osteopathic Medicine" 0 0
"127" "Jonesboro " 0 0
"128" "Arkansas State University" 0 0
"129" "Little Rock " 0 0
"130" "University of Arkansas at Little Rock" 0 0
"131" "University of Arkansas for Medical Sciences" 0 0
"132" "Philander Smith College" 0 0
"133" "Arkansas Baptist College" 0 0
"134" "Magnolia " 0 0
"135" "Southern Arkansas University" 0 0
"136" "Monticello " 0 0
"137" "University of Arkansas at Monticello" 0 0
"138" "Russellville " 0 0
"139" "Arkansas Tech University" 0 0
"140" "Searcy " 0 0
"141" "Harding University" 0 0
"142" "California[edit]" 0 0
"143" "Acton " 0 0
"144" "Larry H. Layton School of Law" 0 0
"145" "Alhambra " 0 0
"146" "Platt College" 0 0
"147" "Alhambra branch of Everest College" 0 0
"148" "Los Angeles Campus of Alliant International University" 0 0
"149" "University of Southern California's Health Sciences Alhambra campus" 0 0
"150" "Anaheim " 0 0
"151" "Anaheim University" 0 0
"152" "California Institute of Technology " 0 0
"153" "SCIT" 0 0
"154" "Bristol University" 0 0
"155" "Angwin " 0 0
"156" "Pacific Union College" 0 0
"157" "Antioch" 0 0
"158" "Arcata " 0 0
"159" "Humboldt State University" 0 0
"160" "Arden-Arcade" 0 0
"161" "Azusa" 0 0
"162" "Bakersfield " 0 0
"163" "California State University" 0 0
"164" "Bakersfield; University of LaVerne" 0 0
"165" "Fresno Pacific University" 0 0
"166" "and Point Loma Nazarene University branch campuses" 0 0
"167" "San Joaquin Valley College" 0 0
"168" "Santa Barbara Business College" 0 0
"169" "Berkeley " 0 0
"170" "University of California" 0 0
"171" "Berkeley" 0 0
"172" "Burbank " 0 0
"173" "Woodbury University" 0 0
"174" "Camarillo " 0 0
"175" "California State University Channel Islands" 0 0
"176" "Carson " 0 0
"177" "California State University" 0 0
"178" "Dominguez Hills" 0 0
"179" "Cerritos " 0 0
"180" "Cerritos College" 0 0
"181" "Fremont College" 0 0
"182" "Irvine University College of Law" 0 0
"183" "Chico " 0 0
"184" "California State University" 0 0
"185" "Chico" 14 973.01
"186" "Cal Northern School of Law" 0 0
"187" "Chino Hills " 0 0
"188" "Biola University " 0 0
"189" "Satellite Campus" 0 0
"190" "Chula Vista " 0 0
"191" "Southwestern College" 0 0
"192" "Claremont " 0 0
"193" "Claremont McKenna College" 0 0
"194" "Pomona College" 0 0
"195" "Harvey Mudd College" 0 0
"196" "Scripps College" 0 0
"197" "Pitzer College" 0 0
"198" "Keck Graduate Institute" 0 0
"199" "Claremont Graduate University" 0 0
"200" "Clovis " 0 0
"201" "San Joaquin College of Law" 0 0
"202" "Compton " 0 0
"203" "El Camino College" 0 0
"204" "Concord " 0 0
"205" "California State University" 0 0
"206" "East Bay satellite campus" 0 0
"207" "Corona" 0 0
"208" "Costa Mesa " 0 0
"209" "Orange Coast College" 0 0
"210" "Vanguard University" 0 0
"211" "Whittier Law School " 0 0
"212" "a satellite of Whittier College and National University satellite campus" 0 0
"213" "Cotati " 0 0
"214" "California State University" 0 0
"215" "Sonoma" 1 53.77
"216" "Daly City" 0 0
"217" "Davis " 0 0
"218" "University of California" 0 0
"219" "Davis" 5 304.6
"220" "Downey" 0 0
"221" "East Los Angeles" 0 0
"222" "El Cajon " 0 0
"223" "Cuyamaca College" 0 0
"224" "Grossmont College" 0 0
"225" "San Diego Christian College" 0 0
"226" "El Monte" 0 0
"227" "Elk Grove " 0 0
"228" "California Northstate University College of Pharmacy" 0 0
"229" "Escondido" 0 0
"230" "Fairfield " 0 0
"231" "Solano Community College" 0 0
"232" "satellite campuses of University of Phoenix" 0 0
"233" "Brandman University" 0 0
"234" "InterCoast Colleges" 0 0
"235" "and Embry Riddle Aeronautical University " 0 0
"236" "at Travis AFB" 0 0
"237" "Fontana" 0 0
"238" "Fremont " 0 0
"239" "University of Silicon Valley Law School" 0 0
"240" "Fresno " 0 0
"241" "Alliant International University" 0 0
"242" "California Christian College" 0 0
"243" "California State University" 0 0
"244" "Fresno" 0 0
"245" "Fresno Pacific University" 0 0
"246" "Kaplan College Fresno campus" 0 0
"247" "National University Fresno campus" 0 0
"248" "University of California" 0 0
"249" "San Francisco – Fresno Medical Education Program" 0 0
"250" "University of California" 0 0
"251" "Merced" 1 709.5
"252" "University of Phoenix" 0 0
"253" "Fullerton " 0 0
"254" "California State University" 0 0
"255" "Fullerton" 0 0
"256" "Western State College of Law at Argosy University" 0 0
"257" "Hope International University" 0 0
"258" "Marshall B. Ketchum University" 0 0
"259" "Fullerton College" 0 0
"260" "Garden Grove" 0 0
"261" "Glendale " 0 0
"262" "Glendale University College of Law" 0 0
"263" "Hawthorne " 0 0
"264" "Los Angeles Southwest College" 0 0
"265" "El Camino College" 0 0
"266" "Hayward " 0 0
"267" "California State University" 0 0
"268" "East Bay" 0 0
"269" "Huntington Beach " 0 0
"270" "Golden West College" 0 0
"271" "Indio " 0 0
"272" "California Desert Trial Academy College of Law" 0 0
"273" "Inglewood " 0 0
"274" "University of West Los Angeles" 0 0
"275" "Irvine " 0 0
"276" "University of California" 0 0
"277" "Irvine" 12 1934.79
"278" "Western State College of Law at Argosy University" 0 0
"279" "Isla Vista " 0 0
"280" "University of California" 0 0
"281" "Santa Barbara" 0 0
"282" "Lancaster " 0 0
"283" "University of Antelope Valley" 0 0
"284" "Antelope Valley College" 0 0
"285" "satellite campus of California State University" 0 0
"286" "Bakersfield" 0 0
"287" "Charter College" 0 0
"288" "La Mesa " 0 0
"289" "McMillan Academy of Law" 0 0
"290" "La Verne " 0 0
"291" "University of La Verne" 0 0
"292" "Loma Linda " 0 0
"293" "Loma Linda University" 0 0
"294" "Long Beach " 0 0
"295" "California State University" 0 0
"296" "Long Beach" 1 18.94
"297" "Pacific Coast University School of Law" 0 0
"298" "Los Angeles " 0 0
"299" "California State University" 0 0
"300" "Los Angeles" 0 0
"301" "California State University" 0 0
"302" "Northridge" 0 0
"303" "University of California" 0 0
"304" "Los Angeles" 0 0
"305" "Chatsworth " 0 0
"306" "University of West Los Angeles" 0 0
"307" "Downtown Los Angeles " 0 0
"308" "Peoples College of Law" 0 0
"309" "Mid-Wilshire " 0 0
"310" "Southwestern University School of Law" 0 0
"311" "Pico-Union " 0 0
"312" "Loyola Law School" 0 0
"313" "University Park " 0 0
"314" "University of Southern California" 0 0
"315" "Westchester " 0 0
"316" "Loyola Marymount University" 0 0
"317" "Malibu " 0 0
"318" "Pepperdine University" 0 0
"319" "Merced " 0 0
"320" "University of California" 0 0
"321" "Merced" 1 709.5
"322" "Modesto " 0 0
"323" "Humphreys College" 0 0
"324" "Moreno Valley " 0 0
"325" "Chapman University" 0 0
"326" "Moreno Valley College" 0 0
"327" "Murrieta " 0 0
"328" "University of Phoenix learning center" 0 0
"329" "Azusa Pacific University satellite campus" 0 0
"330" "Norwalk " 0 0
"331" "Cerritos College" 0 0
"332" "Oakland " 0 0
"333" "Lincoln University" 0 0
"334" "Oceanside " 0 0
"335" "Mira Costa College" 0 0
"336" "Ontario " 0 0
"337" "University of La Verne College of Law" 0 0
"338" "Orange " 0 0
"339" "Chapman University" 0 0
"340" "Pacific West College of Law" 0 0
"341" "Oxnard " 0 0
"342" "Oxnard College; California Lutheran University" 0 0
"343" "California State University" 0 0
"344" "Northridge" 0 0
"345" "ITT" 42 2110.25
"346" "University of Phoenix" 0 0
"347" "University of California" 0 0
"348" "Santa Barbara" 0 0
"349" "National University and Azusa Pacific University have satellite campuses " 0 0
"350" "Palmdale " 0 0
"351" "Chapman University satellite campus" 0 0
"352" "University of Antelope Valley" 0 0
"353" "University of La Verne satellite campus" 0 0
"354" "Palo Alto " 0 0
"355" "Stanford University" 0 0
"356" "Pasadena " 0 0
"357" "California Institute of Technology" 0 0
"358" "Pasadena City College" 0 0
"359" "Pacific Oaks College" 0 0
"360" "Pleasant Hill " 0 0
"361" "John F. Kennedy University" 0 0
"362" "Pomona " 0 0
"363" "Cal Poly Pomona" 0 0
"364" "Western University of Health Sciences and formerly Pomona College" 0 0
"365" "Rancho Cucamonga " 0 0
"366" "Chaffey College and satellite campuses of the University of La Verne" 0 0
"367" "Cambridge College" 0 0
"368" "University of Redlands" 0 0
"369" "Everest College" 0 0
"370" "and University of Phoenix" 0 0
"371" "Redding " 0 0
"372" "Simpson University" 0 0
"373" "National University" 0 0
"374" "Shasta Bible College and Graduate School" 0 0
"375" "California State University" 0 0
"376" "Chico branch campus" 0 0
"377" "Redlands " 0 0
"378" "University of Redlands" 0 0
"379" "Rialto" 0 0
"380" "Richmond" 1 21.12
"381" "Ridgecrest " 0 0
"382" "Pinnacles School of Law" 0 0
"383" "Riverside " 0 0
"384" "University of California" 0 0
